eval_id,query,doc_id,score,rank
78,나무의 분류에 대해 조사해 보기 위한 방법은?,c63b9e3a-716f-423a-9c9b-0bcaa1b9f35d,0.62158203125,1
78,나무의 분류에 대해 조사해 보기 위한 방법은?,9712bdf6-9419-4953-a8f1-8a4015dee986,0.4375,2
78,나무의 분류에 대해 조사해 보기 위한 방법은?,9b912512-fb16-4536-9e69-008998b9d6b8,0.4150390625,3
78,나무의 분류에 대해 조사해 보기 위한 방법은?,1adddd9c-59de-470c-b29a-b49bb6c7b43a,0.409912109375,4
78,나무의 분류에 대해 조사해 보기 위한 방법은?,b730a81a-3903-42ca-9633-88b0ebb9eb42,0.39404296875,5
78,나무의 분류에 대해 조사해 보기 위한 방법은?,bc14b01c-0fa2-436d-83e1-f05af1efbead,0.39306640625,6
78,나무의 분류에 대해 조사해 보기 위한 방법은?,4f11bc9b-1b9c-47f1-8600-bcdf78db5b92,0.380859375,7
78,나무의 분류에 대해 조사해 보기 위한 방법은?,5722a9ef-f201-4121-87bb-748dcd311aa3,0.37841796875,8
78,나무의 분류에 대해 조사해 보기 위한 방법은?,2b7a5cc3-b00d-4fb5-9e6a-9c232ac5e44c,0.375732421875,9
78,나무의 분류에 대해 조사해 보기 위한 방법은?,b8f659fa-05f1-4dba-a884-5e3fd292d908,0.37353515625,10
213,각 나라에서의 공교육 지출 현황에 대해 알려줘.,79c93deb-fe60-4c81-8d51-cb7400a0a156,0.67529296875,1
213,각 나라에서의 공교육 지출 현황에 대해 알려줘.,88439180-e442-4ecf-a485-88c7de0296e9,0.476806640625,2
213,각 나라에서의 공교육 지출 현황에 대해 알려줘.,4f0ea39c-f16c-4d6a-9709-d106c66afcc9,0.443359375,3
213,각 나라에서의 공교육 지출 현황에 대해 알려줘.,24996eae-ed5a-4374-b9ac-d126f0e6880e,0.43115234375,4
213,각 나라에서의 공교육 지출 현황에 대해 알려줘.,dfc7b80f-8f85-4388-a54a-61310aa9811c,0.42041015625,5
213,각 나라에서의 공교육 지출 현황에 대해 알려줘.,ad0b4c92-4ce4-4255-a5fa-e5268ed42a50,0.389404296875,6
213,각 나라에서의 공교육 지출 현황에 대해 알려줘.,b782c2de-0398-423b-8bc0-fc296ed74e4a,0.382568359375,7
213,각 나라에서의 공교육 지출 현황에 대해 알려줘.,b38426ba-85b5-4a6e-932a-6fedf8d01862,0.38134765625,8
213,각 나라에서의 공교육 지출 현황에 대해 알려줘.,c82d2333-8cad-480b-aecd-aaf6e8065921,0.38037109375,9
213,각 나라에서의 공교육 지출 현황에 대해 알려줘.,e1e420d5-bc4b-43c7-9d45-aace105f3915,0.371337890625,10
107,기억 상실증 걸리면 너무 무섭겠다. 어떤 원인 때문에 발생하는지 궁금해.,25de4ffd-cee4-4f27-907e-fd6b802c6ede,0.52978515625,1
107,기억 상실증 걸리면 너무 무섭겠다. 어떤 원인 때문에 발생하는지 궁금해.,f8b625f3-e38d-41ac-806d-ed0b1f1ef40f,0.43408203125,2
107,기억 상실증 걸리면 너무 무섭겠다. 어떤 원인 때문에 발생하는지 궁금해.,df495f22-6315-42a8-9553-b43ab707b683,0.432861328125,3
107,기억 상실증 걸리면 너무 무섭겠다. 어떤 원인 때문에 발생하는지 궁금해.,b66b9bc2-58c4-4677-8cbf-8f3295a40197,0.409912109375,4
107,기억 상실증 걸리면 너무 무섭겠다. 어떤 원인 때문에 발생하는지 궁금해.,e087a80b-541e-4332-b1c7-a0891908b30d,0.390625,5
107,기억 상실증 걸리면 너무 무섭겠다. 어떤 원인 때문에 발생하는지 궁금해.,0c2d5267-638a-4954-8974-55d28a3fe600,0.37939453125,6
107,기억 상실증 걸리면 너무 무섭겠다. 어떤 원인 때문에 발생하는지 궁금해.,a7d4ca61-aee9-4a77-bff9-f4ef8fcac7a9,0.37939453125,7
107,기억 상실증 걸리면 너무 무섭겠다. 어떤 원인 때문에 발생하는지 궁금해.,6dc2fb94-ee97-4be9-8c50-d9d32668dc27,0.37841796875,8
107,기억 상실증 걸리면 너무 무섭겠다. 어떤 원인 때문에 발생하는지 궁금해.,3c13ef0a-c8d3-43db-a58a-22f425cc7ada,0.364501953125,9
107,기억 상실증 걸리면 너무 무섭겠다. 어떤 원인 때문에 발생하는지 궁금해.,8ce9b365-0ab9-4230-af45-6cdfd9a4c25b,0.35791015625,10
81,통학 버스의 가치에 대해 말해줘.,bd91bda8-351e-4683-bb1a-8254f93e2376,0.54541015625,1
81,통학 버스의 가치에 대해 말해줘.,9f58f93b-f6d8-4482-9503-6417d159520c,0.417724609375,2
81,통학 버스의 가치에 대해 말해줘.,5d48fa4e-1999-45dc-b768-b15b30a87cc5,0.338623046875,3
81,통학 버스의 가치에 대해 말해줘.,7404b07e-7b4d-4668-9d1a-7742a063a4ce,0.335205078125,4
81,통학 버스의 가치에 대해 말해줘.,6cd672cd-6581-4b27-aef1-fb008e01d58e,0.329833984375,5
81,통학 버스의 가치에 대해 말해줘.,416f5b2b-9fc8-4ced-ba02-bdd384481f0d,0.318115234375,6
